RA,ANO,FASE,FASE_IDEAL,DEFASAGEM_FORNECIDA,INDE,PEDRA,IAN,IDA,IEG,IAA,IPS,IPP,IPV,NOTA_MATEMATICA,NOTA_PORTUGUES,NOTA_INGLES,INDICADO,ATINGIU_PV,TURMA,GENERO,ANO_INGRESSO,INSTITUICAO_ENSINO,ANO_NASCIMENTO,DEFASAGEM_CALCULADA,IDADE_ANOS,ALVO_RISCO_DEFASAGEM_PROX_ANO
52,2023,5.0,4.0,1,7.9642,AMETISTA,10.0,6.4,9.8,10.0,2.52,8.125,8.2975,7.7,4.8,6.7,,,5B,MASCULINO,2018,PRIVADA PROGRAMA DE APADRINHAMENTO,2009,1.0,14,0.0
52,2024,7.0,5.0,2,8.144466666733333,TOPAZIO,10.0,7.216666666666666,9.437666667,8.751,6.885,7.5,7.5,6.8,8.85,6.0,,,7E,MASCULINO,2021,PRIVADA PARCERIAS COM BOLSA 100,2009,2.0,15,
53,2022,5.0,7.0,-2,6.725,AGATA,5.0,7.0,7.0,9.2,7.5,,6.458,6.0,8.0,,NAO,NAO,B,MASCULINO,2022,ESCOLA PUBLICA,2005,-2.0,17,1.0
53,2023,6.0,8.0,-2,7.600633333,AMETISTA,5.0,7.7,9.1,9.2,5.63,7.5,7.5875,7.3,6.5,9.2,,,6A,MASCULINO,2022,CONCLUIU O 3O EM,2005,-2.0,18,
54,2022,5.0,6.0,-1,6.058,AGATA,5.0,4.8,6.9,7.9,7.5,,6.125,3.0,6.5,,NAO,NAO,B,FEMININO,2022,ESCOLA PUBLICA,2006,-1.0,16,
55,2022,5.0,6.0,-1,6.576,AGATA,5.0,7.5,7.6,7.1,5.6,,6.5,6.7,7.8,7.9,NAO,NAO,B,FEMININO,2017,ESCOLA PUBLICA,2006,-1.0,16,1.0
55,2023,6.0,7.0,-1,6.898033333,AGATA,5.0,7.1,8.1,7.9,3.14,7.5,7.545,8.7,6.5,6.0,,,6A,FEMININO,2017,PUBLICA,2006,-1.0,17,
56,2022,5.0,5.0,0,8.404,TOPAZIO,10.0,7.0,10.0,10.0,7.5,,8.25,4.5,6.5,10.0,NAO,NAO,B,FEMININO,2019,REDE DECISAO,2007,0.0,15,0.0
56,2023,6.0,6.0,0,8.284333333,TOPAZIO,10.0,7.8,9.5,9.6,5.0,8.125,7.8,7.8,5.5,10.0,,,6A,FEMININO,2019,PRIVADA PROGRAMA DE APADRINHAMENTO,2007,0.0,16,0.0
56,2024,7.0,7.0,0,9.077020175400001,TOPAZIO,10.0,7.666666666666667,9.265350877333333,10.002,10.0,8.4375,9.233333333,8.0,6.0,9.0,,,7A,FEMININO,2021,PRIVADA PROGRAMA DE APADRINHAMENTO,2007,0.0,17,
